Type,Sentence,Grammatical,Region Start,Region End
<S_FG>,I know what the attempt to rebuild finally ruined nonetheless,True,50,61
<S_FG>,I know what the attempt to repair eventually wrecked nonetheless,True,53,64
<S_FG>,I know what the attempt to fix eventually wrecked nonetheless,True,50,61
<S_FG>,I know what the attempt to overhaul eventually wrecked nonetheless,True,55,66
<S_FG>,I know what the attempt to rebuild eventually wrecked nonetheless,True,54,65
<S_FG>,I know what the attempt to repair finally wrecked nonetheless,True,50,61
<S_FG>,I know what the attempt to fix finally wrecked nonetheless,True,47,58
<S_FG>,I know what the attempt to overhaul finally wrecked nonetheless,True,52,63
<S_FG>,I know what the attempt to rebuild finally wrecked nonetheless,True,51,62
<S_XG>,I know that the attempt to repair the car eventually damaged nevertheless,False,61,73
<S_XG>,I know that the attempt to fix the car eventually damaged nevertheless,False,58,70
<S_XG>,I know that the attempt to overhaul the car eventually damaged nevertheless,False,63,75
<S_XG>,I know that the attempt to rebuild the car eventually damaged nevertheless,False,62,74
<S_XG>,I know that the attempt to repair the bike eventually damaged nevertheless,False,62,74
<S_XG>,I know that the attempt to fix the bike eventually damaged nevertheless,False,59,71
<S_XG>,I know that the attempt to overhaul the bike eventually damaged nevertheless,False,64,76
<S_XG>,I know that the attempt to rebuild the bike eventually damaged nevertheless,False,63,75
<S_XG>,I know that the attempt to repair the washing machine eventually damaged nevertheless,False,73,85
<S_XG>,I know that the attempt to fix the washing machine eventually damaged nevertheless,False,70,82
<S_XG>,I know that the attempt to overhaul the washing machine eventually damaged nevertheless,False,75,87
<S_XG>,I know that the attempt to rebuild the washing machine eventually damaged nevertheless,False,74,86
<S_XG>,I know that the attempt to repair the drier eventually damaged nevertheless,False,63,75
<S_XG>,I know that the attempt to fix the drier eventually damaged nevertheless,False,60,72
<S_XG>,I know that the attempt to overhaul the drier eventually damaged nevertheless,False,65,77
<S_XG>,I know that the attempt to rebuild the drier eventually damaged nevertheless,False,64,76
<S_XG>,I know that the attempt to repair the ceiling eventually damaged nevertheless,False,65,77
<S_XG>,I know that the attempt to fix the ceiling eventually damaged nevertheless,False,62,74
<S_XG>,I know that the attempt to overhaul the ceiling eventually damaged nevertheless,False,67,79
<S_XG>,I know that the attempt to rebuild the ceiling eventually damaged nevertheless,False,66,78
<S_XG>,I know that the attempt to repair the apartment eventually damaged nevertheless,False,67,79
<S_XG>,I know that the attempt to fix the apartment eventually damaged nevertheless,False,64,76
<S_XG>,I know that the attempt to overhaul the apartment eventually damaged nevertheless,False,69,81
<S_XG>,I know that the attempt to rebuild the apartment eventually damaged nevertheless,False,68,80
<S_XG>,I know that the attempt to repair the car finally damaged nevertheless,False,58,70
<S_XG>,I know that the attempt to fix the car finally damaged nevertheless,False,55,67
<S_XG>,I know that the attempt to overhaul the car finally damaged nevertheless,False,60,72
<S_XG>,I know that the attempt to rebuild the car finally damaged nevertheless,False,59,71
<S_XG>,I know that the attempt to repair the bike finally damaged nevertheless,False,59,71
<S_XG>,I know that the attempt to fix the bike finally damaged nevertheless,False,56,68
<S_XG>,I know that the attempt to overhaul the bike finally damaged nevertheless,False,61,73
<S_XG>,I know that the attempt to rebuild the bike finally damaged nevertheless,False,60,72
<S_XG>,I know that the attempt to repair the washing machine finally damaged nevertheless,False,70,82
<S_XG>,I know that the attempt to fix the washing machine finally damaged nevertheless,False,67,79
<S_XG>,I know that the attempt to overhaul the washing machine finally damaged nevertheless,False,72,84
<S_XG>,I know that the attempt to rebuild the washing machine finally damaged nevertheless,False,71,83
<S_XG>,I know that the attempt to repair the drier finally damaged nevertheless,False,60,72
<S_XG>,I know that the attempt to fix the drier finally damaged nevertheless,False,57,69
<S_XG>,I know that the attempt to overhaul the drier finally damaged nevertheless,False,62,74
<S_XG>,I know that the attempt to rebuild the drier finally damaged nevertheless,False,61,73
<S_XG>,I know that the attempt to repair the ceiling finally damaged nevertheless,False,62,74
<S_XG>,I know that the attempt to fix the ceiling finally damaged nevertheless,False,59,71
<S_XG>,I know that the attempt to overhaul the ceiling finally damaged nevertheless,False,64,76
<S_XG>,I know that the attempt to rebuild the ceiling finally damaged nevertheless,False,63,75
<S_XG>,I know that the attempt to repair the apartment finally damaged nevertheless,False,64,76
<S_XG>,I know that the attempt to fix the apartment finally damaged nevertheless,False,61,73
<S_XG>,I know that the attempt to overhaul the apartment finally damaged nevertheless,False,66,78
<S_XG>,I know that the attempt to rebuild the apartment finally damaged nevertheless,False,65,77
<S_XG>,I know that the attempt to repair the car eventually destroyed nevertheless,False,63,75
<S_XG>,I know that the attempt to fix the car eventually destroyed nevertheless,False,60,72
<S_XG>,I know that the attempt to overhaul the car eventually destroyed nevertheless,False,65,77
<S_XG>,I know that the attempt to rebuild the car eventually destroyed nevertheless,False,64,76
<S_XG>,I know that the attempt to repair the bike eventually destroyed nevertheless,False,64,76
<S_XG>,I know that the attempt to fix the bike eventually destroyed nevertheless,False,61,73
<S_XG>,I know that the attempt to overhaul the bike eventually destroyed nevertheless,False,66,78
<S_XG>,I know that the attempt to rebuild the bike eventually destroyed nevertheless,False,65,77
<S_XG>,I know that the attempt to repair the washing machine eventually destroyed nevertheless,False,75,87
<S_XG>,I know that the attempt to fix the washing machine eventually destroyed nevertheless,False,72,84
<S_XG>,I know that the attempt to overhaul the washing machine eventually destroyed nevertheless,False,77,89
<S_XG>,I know that the attempt to rebuild the washing machine eventually destroyed nevertheless,False,76,88
<S_XG>,I know that the attempt to repair the drier eventually destroyed nevertheless,False,65,77
<S_XG>,I know that the attempt to fix the drier eventually destroyed nevertheless,False,62,74
<S_XG>,I know that the attempt to overhaul the drier eventually destroyed nevertheless,False,67,79
<S_XG>,I know that the attempt to rebuild the drier eventually destroyed nevertheless,False,66,78
<S_XG>,I know that the attempt to repair the ceiling eventually destroyed nevertheless,False,67,79
<S_XG>,I know that the attempt to fix the ceiling eventually destroyed nevertheless,False,64,76
<S_XG>,I know that the attempt to overhaul the ceiling eventually destroyed nevertheless,False,69,81
<S_XG>,I know that the attempt to rebuild the ceiling eventually destroyed nevertheless,False,68,80
<S_XG>,I know that the attempt to repair the apartment eventually destroyed nevertheless,False,69,81
<S_XG>,I know that the attempt to fix the apartment eventually destroyed nevertheless,False,66,78
<S_XG>,I know that the attempt to overhaul the apartment eventually destroyed nevertheless,False,71,83
<S_XG>,I know that the attempt to rebuild the apartment eventually destroyed nevertheless,False,70,82
<S_XG>,I know that the attempt to repair the car finally destroyed nevertheless,False,60,72
<S_XG>,I know that the attempt to fix the car finally destroyed nevertheless,False,57,69
<S_XG>,I know that the attempt to overhaul the car finally destroyed nevertheless,False,62,74
<S_XG>,I know that the attempt to rebuild the car finally destroyed nevertheless,False,61,73
<S_XG>,I know that the attempt to repair the bike finally destroyed nevertheless,False,61,73
<S_XG>,I know that the attempt to fix the bike finally destroyed nevertheless,False,58,70
<S_XG>,I know that the attempt to overhaul the bike finally destroyed nevertheless,False,63,75
<S_XG>,I know that the attempt to rebuild the bike finally destroyed nevertheless,False,62,74
<S_XG>,I know that the attempt to repair the washing machine finally destroyed nevertheless,False,72,84
<S_XG>,I know that the attempt to fix the washing machine finally destroyed nevertheless,False,69,81
<S_XG>,I know that the attempt to overhaul the washing machine finally destroyed nevertheless,False,74,86
<S_XG>,I know that the attempt to rebuild the washing machine finally destroyed nevertheless,False,73,85
<S_XG>,I know that the attempt to repair the drier finally destroyed nevertheless,False,62,74
<S_XG>,I know that the attempt to fix the drier finally destroyed nevertheless,False,59,71
<S_XG>,I know that the attempt to overhaul the drier finally destroyed nevertheless,False,64,76
<S_XG>,I know that the attempt to rebuild the drier finally destroyed nevertheless,False,63,75
<S_XG>,I know that the attempt to repair the ceiling finally destroyed nevertheless,False,64,76
<S_XG>,I know that the attempt to fix the ceiling finally destroyed nevertheless,False,61,73
<S_XG>,I know that the attempt to overhaul the ceiling finally destroyed nevertheless,False,66,78
<S_XG>,I know that the attempt to rebuild the ceiling finally destroyed nevertheless,False,65,77
<S_XG>,I know that the attempt to repair the apartment finally destroyed nevertheless,False,66,78
<S_XG>,I know that the attempt to fix the apartment finally destroyed nevertheless,False,63,75
<S_XG>,I know that the attempt to overhaul the apartment finally destroyed nevertheless,False,68,80
<S_XG>,I know that the attempt to rebuild the apartment finally destroyed nevertheless,False,67,79
<S_XG>,I know that the attempt to repair the car eventually ruined nevertheless,False,60,72
<S_XG>,I know that the attempt to fix the car eventually ruined nevertheless,False,57,69
<S_XG>,I know that the attempt to overhaul the car eventually ruined nevertheless,False,62,74
<S_XG>,I know that the attempt to rebuild the car eventually ruined nevertheless,False,61,73
<S_XG>,I know that the attempt to repair the bike eventually ruined nevertheless,False,61,73
<S_XG>,I know that the attempt to fix the bike eventually ruined nevertheless,False,58,70
<S_XG>,I know that the attempt to overhaul the bike eventually ruined nevertheless,False,63,75
<S_XG>,I know that the attempt to rebuild the bike eventually ruined nevertheless,False,62,74
<S_XG>,I know that the attempt to repair the washing machine eventually ruined nevertheless,False,72,84
<S_XG>,I know that the attempt to fix the washing machine eventually ruined nevertheless,False,69,81
<S_XG>,I know that the attempt to overhaul the washing machine eventually ruined nevertheless,False,74,86
<S_XG>,I know that the attempt to rebuild the washing machine eventually ruined nevertheless,False,73,85
<S_XG>,I know that the attempt to repair the drier eventually ruined nevertheless,False,62,74
<S_XG>,I know that the attempt to fix the drier eventually ruined nevertheless,False,59,71
<S_XG>,I know that the attempt to overhaul the drier eventually ruined nevertheless,False,64,76
<S_XG>,I know that the attempt to rebuild the drier eventually ruined nevertheless,False,63,75
<S_XG>,I know that the attempt to repair the ceiling eventually ruined nevertheless,False,64,76
<S_XG>,I know that the attempt to fix the ceiling eventually ruined nevertheless,False,61,73
<S_XG>,I know that the attempt to overhaul the ceiling eventually ruined nevertheless,False,66,78
<S_XG>,I know that the attempt to rebuild the ceiling eventually ruined nevertheless,False,65,77
<S_XG>,I know that the attempt to repair the apartment eventually ruined nevertheless,False,66,78
<S_XG>,I know that the attempt to fix the apartment eventually ruined nevertheless,False,63,75
<S_XG>,I know that the attempt to overhaul the apartment eventually ruined nevertheless,False,68,80
<S_XG>,I know that the attempt to rebuild the apartment eventually ruined nevertheless,False,67,79
<S_XG>,I know that the attempt to repair the car finally ruined nevertheless,False,57,69
<S_XG>,I know that the attempt to fix the car finally ruined nevertheless,False,54,66
<S_XG>,I know that the attempt to overhaul the car finally ruined nevertheless,False,59,71
<S_XG>,I know that the attempt to rebuild the car finally ruined nevertheless,False,58,70
<S_XG>,I know that the attempt to repair the bike finally ruined nevertheless,False,58,70
<S_XG>,I know that the attempt to fix the bike finally ruined nevertheless,False,55,67
<S_XG>,I know that the attempt to overhaul the bike finally ruined nevertheless,False,60,72
<S_XG>,I know that the attempt to rebuild the bike finally ruined nevertheless,False,59,71
<S_XG>,I know that the attempt to repair the washing machine finally ruined nevertheless,False,69,81
<S_XG>,I know that the attempt to fix the washing machine finally ruined nevertheless,False,66,78
<S_XG>,I know that the attempt to overhaul the washing machine finally ruined nevertheless,False,71,83
<S_XG>,I know that the attempt to rebuild the washing machine finally ruined nevertheless,False,70,82
<S_XG>,I know that the attempt to repair the drier finally ruined nevertheless,False,59,71
<S_XG>,I know that the attempt to fix the drier finally ruined nevertheless,False,56,68
<S_XG>,I know that the attempt to overhaul the drier finally ruined nevertheless,False,61,73
<S_XG>,I know that the attempt to rebuild the drier finally ruined nevertheless,False,60,72
<S_XG>,I know that the attempt to repair the ceiling finally ruined nevertheless,False,61,73
<S_XG>,I know that the attempt to fix the ceiling finally ruined nevertheless,False,58,70
<S_XG>,I know that the attempt to overhaul the ceiling finally ruined nevertheless,False,63,75
<S_XG>,I know that the attempt to rebuild the ceiling finally ruined nevertheless,False,62,74
<S_XG>,I know that the attempt to repair the apartment finally ruined nevertheless,False,63,75
<S_XG>,I know that the attempt to fix the apartment finally ruined nevertheless,False,60,72
<S_XG>,I know that the attempt to overhaul the apartment finally ruined nevertheless,False,65,77
<S_XG>,I know that the attempt to rebuild the apartment finally ruined nevertheless,False,64,76
<S_XG>,I know that the attempt to repair the car eventually wrecked nevertheless,False,61,73
<S_XG>,I know that the attempt to fix the car eventually wrecked nevertheless,False,58,70
<S_XG>,I know that the attempt to overhaul the car eventually wrecked nevertheless,False,63,75
<S_XG>,I know that the attempt to rebuild the car eventually wrecked nevertheless,False,62,74
<S_XG>,I know that the attempt to repair the bike eventually wrecked nevertheless,False,62,74
<S_XG>,I know that the attempt to fix the bike eventually wrecked nevertheless,False,59,71
<S_XG>,I know that the attempt to overhaul the bike eventually wrecked nevertheless,False,64,76
<S_XG>,I know that the attempt to rebuild the bike eventually wrecked nevertheless,False,63,75
<S_XG>,I know that the attempt to repair the washing machine eventually wrecked nevertheless,False,73,85
<S_XG>,I know that the attempt to fix the washing machine eventually wrecked nevertheless,False,70,82
<S_XG>,I know that the attempt to overhaul the washing machine eventually wrecked nevertheless,False,75,87
<S_XG>,I know that the attempt to rebuild the washing machine eventually wrecked nevertheless,False,74,86
<S_XG>,I know that the attempt to repair the drier eventually wrecked nevertheless,False,63,75
<S_XG>,I know that the attempt to fix the drier eventually wrecked nevertheless,False,60,72
<S_XG>,I know that the attempt to overhaul the drier eventually wrecked nevertheless,False,65,77
<S_XG>,I know that the attempt to rebuild the drier eventually wrecked nevertheless,False,64,76
<S_XG>,I know that the attempt to repair the ceiling eventually wrecked nevertheless,False,65,77
<S_XG>,I know that the attempt to fix the ceiling eventually wrecked nevertheless,False,62,74
<S_XG>,I know that the attempt to overhaul the ceiling eventually wrecked nevertheless,False,67,79
<S_XG>,I know that the attempt to rebuild the ceiling eventually wrecked nevertheless,False,66,78
<S_XG>,I know that the attempt to repair the apartment eventually wrecked nevertheless,False,67,79
<S_XG>,I know that the attempt to fix the apartment eventually wrecked nevertheless,False,64,76
<S_XG>,I know that the attempt to overhaul the apartment eventually wrecked nevertheless,False,69,81
<S_XG>,I know that the attempt to rebuild the apartment eventually wrecked nevertheless,False,68,80
<S_XG>,I know that the attempt to repair the car finally wrecked nevertheless,False,58,70
<S_XG>,I know that the attempt to fix the car finally wrecked nevertheless,False,55,67
<S_XG>,I know that the attempt to overhaul the car finally wrecked nevertheless,False,60,72
<S_XG>,I know that the attempt to rebuild the car finally wrecked nevertheless,False,59,71
<S_XG>,I know that the attempt to repair the bike finally wrecked nevertheless,False,59,71
<S_XG>,I know that the attempt to fix the bike finally wrecked nevertheless,False,56,68
<S_XG>,I know that the attempt to overhaul the bike finally wrecked nevertheless,False,61,73
<S_XG>,I know that the attempt to rebuild the bike finally wrecked nevertheless,False,60,72
<S_XG>,I know that the attempt to repair the washing machine finally wrecked nevertheless,False,70,82
<S_XG>,I know that the attempt to fix the washing machine finally wrecked nevertheless,False,67,79
<S_XG>,I know that the attempt to overhaul the washing machine finally wrecked nevertheless,False,72,84
<S_XG>,I know that the attempt to rebuild the washing machine finally wrecked nevertheless,False,71,83
<S_XG>,I know that the attempt to repair the drier finally wrecked nevertheless,False,60,72
<S_XG>,I know that the attempt to fix the drier finally wrecked nevertheless,False,57,69
<S_XG>,I know that the attempt to overhaul the drier finally wrecked nevertheless,False,62,74
<S_XG>,I know that the attempt to rebuild the drier finally wrecked nevertheless,False,61,73
<S_XG>,I know that the attempt to repair the ceiling finally wrecked nevertheless,False,62,74
<S_XG>,I know that the attempt to fix the ceiling finally wrecked nevertheless,False,59,71
<S_XG>,I know that the attempt to overhaul the ceiling finally wrecked nevertheless,False,64,76
<S_XG>,I know that the attempt to rebuild the ceiling finally wrecked nevertheless,False,63,75
<S_XG>,I know that the attempt to repair the apartment finally wrecked nevertheless,False,64,76
<S_XG>,I know that the attempt to fix the apartment finally wrecked nevertheless,False,61,73
<S_XG>,I know that the attempt to overhaul the apartment finally wrecked nevertheless,False,66,78
<S_XG>,I know that the attempt to rebuild the apartment finally wrecked nevertheless,False,65,77
<S_XG>,I know that the attempt to repair the car eventually damaged nonetheless,False,61,72
<S_XG>,I know that the attempt to fix the car eventually damaged nonetheless,False,58,69
<S_XG>,I know that the attempt to overhaul the car eventually damaged nonetheless,False,63,74
<S_XG>,I know that the attempt to rebuild the car eventually damaged nonetheless,False,62,73
<S_XG>,I know that the attempt to repair the bike eventually damaged nonetheless,False,62,73
<S_XG>,I know that the attempt to fix the bike eventually damaged nonetheless,False,59,70
<S_XG>,I know that the attempt to overhaul the bike eventually damaged nonetheless,False,64,75
<S_XG>,I know that the attempt to rebuild the bike eventually damaged nonetheless,False,63,74
<S_XG>,I know that the attempt to repair the washing machine eventually damaged nonetheless,False,73,84
<S_XG>,I know that the attempt to fix the washing machine eventually damaged nonetheless,False,70,81
<S_XG>,I know that the attempt to overhaul the washing machine eventually damaged nonetheless,False,75,86
<S_XG>,I know that the attempt to rebuild the washing machine eventually damaged nonetheless,False,74,85
<S_XG>,I know that the attempt to repair the drier eventually damaged nonetheless,False,63,74
<S_XG>,I know that the attempt to fix the drier eventually damaged nonetheless,False,60,71
<S_XG>,I know that the attempt to overhaul the drier eventually damaged nonetheless,False,65,76
<S_XG>,I know that the attempt to rebuild the drier eventually damaged nonetheless,False,64,75
<S_XG>,I know that the attempt to repair the ceiling eventually damaged nonetheless,False,65,76
<S_XG>,I know that the attempt to fix the ceiling eventually damaged nonetheless,False,62,73
<S_XG>,I know that the attempt to overhaul the ceiling eventually damaged nonetheless,False,67,78
<S_XG>,I know that the attempt to rebuild the ceiling eventually damaged nonetheless,False,66,77
<S_XG>,I know that the attempt to repair the apartment eventually damaged nonetheless,False,67,78
<S_XG>,I know that the attempt to fix the apartment eventually damaged nonetheless,False,64,75
<S_XG>,I know that the attempt to overhaul the apartment eventually damaged nonetheless,False,69,80
<S_XG>,I know that the attempt to rebuild the apartment eventually damaged nonetheless,False,68,79
<S_XG>,I know that the attempt to repair the car finally damaged nonetheless,False,58,69
<S_XG>,I know that the attempt to fix the car finally damaged nonetheless,False,55,66
<S_XG>,I know that the attempt to overhaul the car finally damaged nonetheless,False,60,71
<S_XG>,I know that the attempt to rebuild the car finally damaged nonetheless,False,59,70
<S_XG>,I know that the attempt to repair the bike finally damaged nonetheless,False,59,70
<S_XG>,I know that the attempt to fix the bike finally damaged nonetheless,False,56,67
<S_XG>,I know that the attempt to overhaul the bike finally damaged nonetheless,False,61,72
<S_XG>,I know that the attempt to rebuild the bike finally damaged nonetheless,False,60,71
<S_XG>,I know that the attempt to repair the washing machine finally damaged nonetheless,False,70,81
<S_XG>,I know that the attempt to fix the washing machine finally damaged nonetheless,False,67,78
<S_XG>,I know that the attempt to overhaul the washing machine finally damaged nonetheless,False,72,83
<S_XG>,I know that the attempt to rebuild the washing machine finally damaged nonetheless,False,71,82
<S_XG>,I know that the attempt to repair the drier finally damaged nonetheless,False,60,71
<S_XG>,I know that the attempt to fix the drier finally damaged nonetheless,False,57,68
<S_XG>,I know that the attempt to overhaul the drier finally damaged nonetheless,False,62,73
<S_XG>,I know that the attempt to rebuild the drier finally damaged nonetheless,False,61,72
<S_XG>,I know that the attempt to repair the ceiling finally damaged nonetheless,False,62,73
<S_XG>,I know that the attempt to fix the ceiling finally damaged nonetheless,False,59,70
<S_XG>,I know that the attempt to overhaul the ceiling finally damaged nonetheless,False,64,75
<S_XG>,I know that the attempt to rebuild the ceiling finally damaged nonetheless,False,63,74
<S_XG>,I know that the attempt to repair the apartment finally damaged nonetheless,False,64,75
<S_XG>,I know that the attempt to fix the apartment finally damaged nonetheless,False,61,72
<S_XG>,I know that the attempt to overhaul the apartment finally damaged nonetheless,False,66,77
<S_XG>,I know that the attempt to rebuild the apartment finally damaged nonetheless,False,65,76
<S_XG>,I know that the attempt to repair the car eventually destroyed nonetheless,False,63,74
<S_XG>,I know that the attempt to fix the car eventually destroyed nonetheless,False,60,71
<S_XG>,I know that the attempt to overhaul the car eventually destroyed nonetheless,False,65,76
<S_XG>,I know that the attempt to rebuild the car eventually destroyed nonetheless,False,64,75
<S_XG>,I know that the attempt to repair the bike eventually destroyed nonetheless,False,64,75
<S_XG>,I know that the attempt to fix the bike eventually destroyed nonetheless,False,61,72
<S_XG>,I know that the attempt to overhaul the bike eventually destroyed nonetheless,False,66,77
<S_XG>,I know that the attempt to rebuild the bike eventually destroyed nonetheless,False,65,76
<S_XG>,I know that the attempt to repair the washing machine eventually destroyed nonetheless,False,75,86
<S_XG>,I know that the attempt to fix the washing machine eventually destroyed nonetheless,False,72,83
<S_XG>,I know that the attempt to overhaul the washing machine eventually destroyed nonetheless,False,77,88
<S_XG>,I know that the attempt to rebuild the washing machine eventually destroyed nonetheless,False,76,87
<S_XG>,I know that the attempt to repair the drier eventually destroyed nonetheless,False,65,76
<S_XG>,I know that the attempt to fix the drier eventually destroyed nonetheless,False,62,73
<S_XG>,I know that the attempt to overhaul the drier eventually destroyed nonetheless,False,67,78
<S_XG>,I know that the attempt to rebuild the drier eventually destroyed nonetheless,False,66,77
<S_XG>,I know that the attempt to repair the ceiling eventually destroyed nonetheless,False,67,78
<S_XG>,I know that the attempt to fix the ceiling eventually destroyed nonetheless,False,64,75
<S_XG>,I know that the attempt to overhaul the ceiling eventually destroyed nonetheless,False,69,80
<S_XG>,I know that the attempt to rebuild the ceiling eventually destroyed nonetheless,False,68,79
<S_XG>,I know that the attempt to repair the apartment eventually destroyed nonetheless,False,69,80
<S_XG>,I know that the attempt to fix the apartment eventually destroyed nonetheless,False,66,77
<S_XG>,I know that the attempt to overhaul the apartment eventually destroyed nonetheless,False,71,82
<S_XG>,I know that the attempt to rebuild the apartment eventually destroyed nonetheless,False,70,81
<S_XG>,I know that the attempt to repair the car finally destroyed nonetheless,False,60,71
<S_XG>,I know that the attempt to fix the car finally destroyed nonetheless,False,57,68
<S_XG>,I know that the attempt to overhaul the car finally destroyed nonetheless,False,62,73
<S_XG>,I know that the attempt to rebuild the car finally destroyed nonetheless,False,61,72
<S_XG>,I know that the attempt to repair the bike finally destroyed nonetheless,False,61,72
<S_XG>,I know that the attempt to fix the bike finally destroyed nonetheless,False,58,69
<S_XG>,I know that the attempt to overhaul the bike finally destroyed nonetheless,False,63,74
<S_XG>,I know that the attempt to rebuild the bike finally destroyed nonetheless,False,62,73
<S_XG>,I know that the attempt to repair the washing machine finally destroyed nonetheless,False,72,83
<S_XG>,I know that the attempt to fix the washing machine finally destroyed nonetheless,False,69,80
<S_XG>,I know that the attempt to overhaul the washing machine finally destroyed nonetheless,False,74,85
<S_XG>,I know that the attempt to rebuild the washing machine finally destroyed nonetheless,False,73,84
<S_XG>,I know that the attempt to repair the drier finally destroyed nonetheless,False,62,73
<S_XG>,I know that the attempt to fix the drier finally destroyed nonetheless,False,59,70
<S_XG>,I know that the attempt to overhaul the drier finally destroyed nonetheless,False,64,75
<S_XG>,I know that the attempt to rebuild the drier finally destroyed nonetheless,False,63,74
<S_XG>,I know that the attempt to repair the ceiling finally destroyed nonetheless,False,64,75
<S_XG>,I know that the attempt to fix the ceiling finally destroyed nonetheless,False,61,72
<S_XG>,I know that the attempt to overhaul the ceiling finally destroyed nonetheless,False,66,77
<S_XG>,I know that the attempt to rebuild the ceiling finally destroyed nonetheless,False,65,76
<S_XG>,I know that the attempt to repair the apartment finally destroyed nonetheless,False,66,77
<S_XG>,I know that the attempt to fix the apartment finally destroyed nonetheless,False,63,74
<S_XG>,I know that the attempt to overhaul the apartment finally destroyed nonetheless,False,68,79
<S_XG>,I know that the attempt to rebuild the apartment finally destroyed nonetheless,False,67,78
<S_XG>,I know that the attempt to repair the car eventually ruined nonetheless,False,60,71
<S_XG>,I know that the attempt to fix the car eventually ruined nonetheless,False,57,68
<S_XG>,I know that the attempt to overhaul the car eventually ruined nonetheless,False,62,73
<S_XG>,I know that the attempt to rebuild the car eventually ruined nonetheless,False,61,72
<S_XG>,I know that the attempt to repair the bike eventually ruined nonetheless,False,61,72
